3,matteoluceri@msn.com,25,6,2018,2,1,3,2,1,19.120000;
5,carlabianchi@gmail.com,2,7,2018,1,2,2,2,0,50.000000;
1,pippo@topolinia.it,24,7,2018,3,2,1,2,0,21.250000;
2,paperino@paperopoli.it,24,7,2018,1,35,3,2,1,12.500000;
4,paolosantese@hotmail.com,15,8,2018,3,2,1,1,0,25.000000;
6,matteoluceri@msn.com,23,10,2019,3,15,3,2,4,47.600000;
7,matteoluceri@msn.com,25,7,2020,1,33,10,2,2,26.350000;
8,pippo@topolinia.it,25,7,2020,2,34,10,2,0,21.250000;
9,pippo@topolinia.it,25,7,2020,2,35,10,2,0,21.250000;
10,pippo@topolinia.it,25,7,2020,1,35,10,2,0,21.250000;
