pippo@topolinia.it,yuk000,MSOPPP32E02H501T,Mouse,Pippo,2,5,1932,15.000000;
pluto@topolinia.it,bau111,MSOPLT31D30H501X,Mouse,Pluto,30,4,1931,5.000000;
paperino@paperopoli.it,quack222,DCKPRN34R16H501Y,Duck,Paperino,16,10,1934,0.000000;
mariorossi@gmail.com,mario45,RSSMRA45A01L049G,Rossi,Mario,1,1,1945,10.000000;
paolosantese@hotmail.com,paolo75,SNTPLA75E10B180X,Santese,Paolo,10,5,1975,0.000000;
mariabaglio@libero.it,maria88,BGLMRA88B65E882I,Baglio,Maria,25,2,1988,35.000000;
carlabianchi@gmail.com,carla00,BNCCRL00D55H501H,Bianchi,Carla,15,4,2000,0.000000;
matteoluceri@msn.com,meme25,LCRMTT93R25E882M,Luceri,Matteo,25,10,1993,15.000000;
parlatanosandro@virgilio.com,sandro66,PRLSDR66T10F205W,Parlatano,Sandro,10,12,1966,5.000000;
fioraguerrieri@gmail.com,fiora77,GRRFRI77E41L219G,Guerrieri,Fiora,1,5,1977,12.000000;
